id,q-table
829,0.00  0.00  -10.90
830,-15.10  0.00  0.00
831,0.00  -15.43  0.00
832,-13.92  0.00  0.00
833,0.00  -15.78  0.00
834,0.00  -15.80  0.00
835,-11.07  0.00  0.00
836,0.00  -14.95  0.00
837,0.00  -10.34  0.00
838,-19.88  0.00  0.00
839,0.00  0.00  -16.47
840,0.00  -15.77  0.00
841,0.00  -14.50  0.00
842,0.00  0.00  -9.00
843,-16.43  0.00  0.00
844,0.00  0.00  -10.30
845,-11.80  0.00  0.00
846,0.00  -9.14  0.00
847,-8.13  0.00  0.00
848,0.00  0.00  -19.11
849,0.00  -11.85  0.00
850,0.00  0.00  -6.90
851,0.00  -14.35  0.00
852,0.00  -11.02  0.00
853,-10.73  0.00  0.00
854,0.00  0.00  -7.85
855,-15.45  0.00  0.00
856,-7.75  0.00  0.00
857,0.00  0.00  -5.24
858,0.00  -15.07  0.00
859,0.00  -15.47  0.00
860,0.00  0.00  -20.98
861,0.00  -12.76  0.00
862,0.00  0.00  -13.49
863,-14.89  0.00  0.00
864,0.00  0.00  -14.52
865,0.00  0.00  -10.11
866,0.00  0.00  -6.85
867,0.00  0.00  -16.21
868,0.00  -15.48  0.00
869,0.00  0.00  -15.26
870,-7.99  0.00  0.00
871,0.00  -13.73  0.00
872,-15.82  0.00  0.00
873,0.00  0.00  -12.23
874,0.00  -14.43  0.00
875,-5.44  0.00  0.00
876,-14.52  0.00  0.00
877,0.00  0.00  -7.01
878,0.00  0.00  -19.10
879,0.00  -7.80  0.00
880,0.00  0.00  -7.74
881,0.00  0.00  -11.30
882,-13.13  0.00  0.00
883,-14.09  0.00  0.00
884,-5.55  0.00  0.00
885,0.00  -16.82  0.00
886,-14.37  0.00  0.00
887,-15.59  0.00  0.00
888,0.00  0.00  -17.68
889,-18.64  0.00  0.00
890,-6.42  0.00  0.00
891,0.00  -8.90  0.00
892,0.00  -8.28  0.00
893,0.00  -13.21  0.00
894,0.00  -17.23  0.00
895,0.00  -15.34  0.00
896,-11.92  0.00  0.00
897,0.00  0.00  -21.83
898,-6.15  0.00  0.00
899,-17.46  0.00  0.00
900,0.00  0.00  -20.10
901,0.00  -5.78  0.00
902,-7.65  0.00  0.00
903,0.00  0.00  -6.90
904,-5.63  0.00  0.00
905,0.00  -15.32  0.00
906,-12.79  0.00  0.00
907,0.00  0.00  -24.22
908,-8.39  0.00  0.00
909,-11.57  0.00  0.00
910,-9.90  0.00  0.00
911,0.00  -21.46  0.00
912,-9.42  0.00  0.00
913,0.00  0.00  -16.30
914,0.00  0.00  -20.78
915,0.00  -24.11  0.00
916,0.00  0.00  -15.82
917,0.00  0.00  -13.10
918,0.00  -20.87  0.00
919,-8.05  0.00  0.00
920,0.00  0.00  -20.45
921,0.00  -8.68  0.00
922,-13.12  0.00  0.00
923,-5.64  0.00  0.00
924,0.00  0.00  -14.14
925,0.00  0.00  -21.15
926,0.00  0.00  -19.46
927,0.00  0.00  -9.06
928,-10.48  0.00  0.00
929,-7.24  0.00  0.00
